accelerator,Model,Features,avg_mae,std_mae,avg_r2,std_r2,avg_train_time_sec,std_train_time_sec,avg_infer_time_sec,std_infer_time_sec,avg_peak_cpu,std_peak_cpu,avg_peak_memory_mb,std_peak_memory_mb,avg_peak_gpu_util,avg_peak_gpu_memory_mb
CPU,LSTM,Baseline,50.55299052666019,1.2345899987028128,0.09665695964221599,0.05787597421067301,22.794703502399898,1.83385007458494,0.13328772399991068,0.019569285201048982,252.94,152.27085407260313,3173.16640625,211.19640300823244,,
CPU,LSTM,Enhanced,43.7791536064519,2.389746841064391,0.30206469497465555,0.07286495038856113,24.429923275599776,2.0976065021258803,0.17370270579986027,0.04753795357741307,172.1,2.008730942660057,3210.09140625,207.32890447851977,,
CPU,LSTM,Enhanced_2,45.256271334272796,1.2862534984722096,0.26834415371083864,0.0462616612843431,22.779510924399894,0.9279167280775212,0.18415690100000576,0.0658919178658487,185.68,28.59767473064899,3247.19921875,182.25607325268422,,
CPU,MLP,Baseline,55.87452826199166,1.3078656123690318,-0.04512673346977336,0.13550898130464373,2.4660769214000537,0.7731826843401852,0.0019547697999769296,0.0005572655858564989,106.0,4.97895571380184,3117.62578125,188.98321683531157,,
CPU,MLP,Enhanced,41.171591135095866,1.7707902013466046,0.3807349261841093,0.04645574233389525,2.0649136011998963,0.24492706154951369,0.001932467199912935,0.0002617316726361008,123.85999999999999,34.929829658903294,3149.47109375,219.35263951950145,,
CPU,MLP,Enhanced_2,41.123321224726716,2.2197927377579467,0.3789372904962479,0.06322212797687322,2.052125196400175,0.11271674455157503,0.0016086573999928079,0.00011998564913200306,109.02000000000001,5.375127905454906,3168.07109375,179.53467633755156,,
CPU,RF,Baseline,43.00397094255337,0.8322454118490893,0.3201020351376006,0.04118362164597422,10.124150969400215,5.695741378565221,0.07732530439989205,0.025513155871199837,174.06,34.56187205577846,3115.21484375,208.8581099835388,,
CPU,RF,Enhanced,38.05305597472176,1.393841721167525,0.46243327045265803,0.04014191447850254,13.794721560799825,0.9855008515855662,0.08286859460004052,0.04584789108036537,191.54000000000002,24.345287018230025,3163.765625,221.20909440520478,,
CPU,RF,Enhanced_2,39.76643083218629,1.298784732231064,0.4212401800945528,0.03265948795111113,14.183024796599785,0.7211626097499083,0.06130464899997605,0.021043777164334348,253.61999999999998,156.48800912530007,3180.7140625,181.98684809188262,,
CPU,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.04445739896532872,1.539642219399775,1.0531410347619856,0.005788695600131177,0.003502417891461698,136.02,154.44290854552045,3117.27265625,190.0337798236409,,
CPU,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.44611694481761416,0.04494857738814632,1.862120818600215,1.1961862379160382,0.00466696920002505,0.0008430188048244527,60.58,61.85355284864403,3148.8625,219.52256647430872,,
CPU,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.04139646704043171,1.5854136315998404,0.5127602350656053,0.004834715399920242,0.00156446395644158,86.02,32.13015717359627,3167.71171875,179.54972871798674,,
