accelerator,Model,Features,avg_mae,std_mae,avg_r2,std_r2,avg_train_time_sec,std_train_time_sec,avg_infer_time_sec,std_infer_time_sec,avg_peak_cpu,std_peak_cpu,avg_peak_memory_mb,std_peak_memory_mb,avg_peak_gpu_util,avg_peak_gpu_memory_mb
GPU_Tesla_T4,LSTM,Baseline,51.580626863948645,0.9990232913148582,0.07699029444975722,0.03581214185241195,16.13262915620003,2.272005777679699,0.09298904419997597,0.003643643091339028,205.9,83.26394778053705,5171.9109375,216.53362605767293,46.4,954.8
GPU_Tesla_T4,LSTM,Enhanced,43.055942455373426,1.850807519270173,0.30881363166211095,0.05747332439327848,15.03069794659998,0.23877272741077757,0.09108726959993874,0.003601642103997068,186.84,57.27139774791601,5208.58984375,202.29264747808767,47.8,954.8
GPU_Tesla_T4,LSTM,Enhanced_2,44.112372892027885,2.329699549404539,0.28380741915804925,0.0651537793364786,14.95001775259998,0.13364592238833484,0.08998566739996931,0.003696643892617873,151.34,5.991911214295489,5266.884375,206.050141400532,47.8,958.0
GPU_Tesla_T4,MLP,Baseline,55.87452826199166,1.3078656123690307,-0.04512673346977345,0.13550898130464378,0.719904906399961,0.07174479975899771,0.0013523477999569876,0.00011151607564290021,138.54000000000002,82.15511548284745,5123.63515625,237.9955993469893,0.4,946.8
GPU_Tesla_T4,MLP,Enhanced,41.17159113509587,1.770790201346605,0.3807349261841094,0.04645574233389523,0.796944714600022,0.08270486030971676,0.001367488199912259,0.00011874617713179597,105.34,4.554448374940697,5163.82421875,196.44228954101803,0.0,954.8
GPU_Tesla_T4,MLP,Enhanced_2,41.123321224726716,2.219792737757948,0.3789372904962479,0.06322212797687324,0.8139612446000228,0.05336634964789217,0.0013966978000098606,0.00015389447708153022,249.8,246.5561497914826,5209.23515625,202.70415307539017,0.0,954.8
GPU_Tesla_T4,RF,Baseline,43.00397094255337,0.8322454118490868,0.3201020351376006,0.04118362164597422,2.1514264669999874,1.1883906147523495,0.05184621159999096,0.012875887858125344,323.56,66.50866860793411,4902.6984375,701.4053572159436,0.0,766.8
GPU_Tesla_T4,RF,Enhanced,38.053055974721765,1.3938417211675251,0.46243327045265803,0.04014191447850254,2.488982885200039,0.14710978506820907,0.04679418600003373,0.011955900556813604,663.88,47.75093716357828,5161.63359375,198.12505775041674,2.8,954.8
GPU_Tesla_T4,RF,Enhanced_2,39.76643083218629,1.2987847322310635,0.4212401800945528,0.032659487951111156,2.649251826800037,0.15801434971411157,0.04535380080001232,0.011276911912555273,672.02,73.25706109311238,5207.603125,203.97794749424477,3.2,954.8
GPU_Tesla_T4,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.04445739896532872,0.49025754479998795,0.3741106744982484,0.0028500990000338788,0.0012101279552435553,236.21999999999997,324.9105061397677,5122.35234375,239.974234936863,4.4,946.8
GPU_Tesla_T4,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.44611694481761416,0.04494857738814632,0.46865928439997334,0.11949669450879082,0.0055123206000416754,0.006737875750430584,106.92,204.20844008022786,5162.41875,197.3667219362385,0.0,954.8
GPU_Tesla_T4,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.04139646704043171,0.4599529067999811,0.08311521942774312,0.003503576800039809,0.0019008956378270608,234.72000000000003,210.27596629191842,5208.3015625,203.18814805677562,0.0,954.8
