accelerator,Model,Features,Fold,mae,r2,train_time_sec,infer_time_sec,peak_cpu_percent,peak_memory_mb,peak_gpu_util_percent,peak_gpu_memory_mb
GPU_NVIDIA_A100-SXM4-80GB,RF,Baseline,1,41.9294783067892,0.3432367169507118,3.5329533620000575,0.038227398999993056,236.8,4137.41796875,0,5
GPU_NVIDIA_A100-SXM4-80GB,XGB,Baseline,1,41.69347026625352,0.3605108646895996,2.1408132239999986,0.029242389999922125,1044.2,6230.75,29,4612
GPU_NVIDIA_A100-SXM4-80GB,MLP,Baseline,1,54.300571690448315,-0.012858157042367813,0.6485432499999888,0.0012776389999089588,103.1,6236.4296875,0,4612
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Baseline,1,50.227059118362476,0.06547029390062131,20.396127316999923,0.10252259300000333,326.9,6441.75,40,4692
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced,1,35.83437399561523,0.5052010158600355,1.9060296400000425,0.060287485999992896,706.7,6457.23046875,3,4692
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced,1,37.679004056272184,0.4818518605456993,0.3960128200000099,0.002770661999988988,510.6,6797.328125,0,5531
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced,1,38.21960490310725,0.4507281149129777,0.5808070049999969,0.0014189729999998235,233.4,6803.07421875,7,5531
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced,1,40.412657882344185,0.3818850447952562,15.593115527000009,0.10053949600001033,150.6,6861.640625,40,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced_2,1,38.89742553226092,0.42183334683868334,2.039912946999948,0.06031362999999601,1043.1,6890.4609375,3,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced_2,1,38.047312238552806,0.4715462536949814,0.3551387929999237,0.0026231680000137203,7.7,6895.44921875,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced_2,1,37.60481571233141,0.46423157744368526,0.7463721310000437,0.001400583999952687,247.6,6897.4140625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced_2,1,40.43581723754399,0.3877542081023908,15.861881856999958,0.09817869599999085,148.2,6952.0234375,40,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Baseline,2,43.85492812459162,0.2965894232168165,1.2803247379999902,0.057533745000000636,396.1,6968.7265625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Baseline,2,45.62151745455669,0.266344731961357,0.2024371190000238,0.0021373380000113684,7.9,6968.75390625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Baseline,2,57.92917608068255,-0.2824145078778719,0.620761109,0.0013557999999420645,105.1,6972.140625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Baseline,2,52.76018681800057,0.06008450674421384,15.516094364999958,0.09956959999999526,147.8,7017.33203125,40,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced,2,39.0758943347388,0.4467625182358653,1.672235956999998,0.037695450000001074,567.8,7038.95703125,3,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced,2,40.29604883596554,0.42343360276336817,0.3289008610000792,0.002660052999999607,128.6,7040.5078125,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced,2,42.84737189002817,0.34931905947638253,0.6828525890000492,0.0014413180000474313,244.7,7040.88671875,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced,2,45.78927393988053,0.24012833977533787,16.17290483900001,0.09781178099990484,171.4,7045.3984375,41,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced_2,2,39.21033794335688,0.44210569504099795,1.7840236469999127,0.03851616199995078,251.6,7017.0,3,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced_2,2,40.519876333434894,0.4207982630166953,0.3662666669999908,0.0031572000000323897,7.8,7016.66015625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced_2,2,43.37682953907998,0.32831817732703694,0.6363813550000259,0.0014923029999636128,100.3,7019.890625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced_2,2,45.08296952682132,0.245500680546491,15.699879056999976,0.09766957700003331,154.9,7074.25,40,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Baseline,3,42.47472604262107,0.3138335978083524,1.3388061659999266,0.06138761199997589,316.4,7085.5859375,0,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Baseline,3,43.465423776141535,0.298492872252071,0.24097770800005947,0.0022228989998893667,7.7,7085.4609375,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Baseline,3,55.7891659801433,0.011767944197934144,0.553521653999951,0.0012688680000110253,484.7,7085.66015625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Baseline,3,49.86601686665477,0.12271735691814245,15.472064680000017,0.10496533999992153,148.3,7140.2109375,40,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced,3,37.73865723734383,0.4798852294696784,1.8801806370000804,0.05104220499993062,682.8,7151.3125,3,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced,3,38.808292990901144,0.4654789328238632,0.34549818899995444,0.0029194610000331522,143.7,7153.59375,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced,3,41.06730340559481,0.3608886994952738,0.7488950150000164,0.0013874869999881412,114.6,7154.51953125,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced,3,42.17265989763164,0.3547484363728879,16.004752590999942,0.10104269299995394,152.7,7215.890625,39,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced_2,3,42.05826961799136,0.37837061138565786,1.932406533999938,0.06149664399993071,715.1,7227.7265625,2,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Enhanced_2,3,38.98400534422553,0.4689973163903586,0.35773425800005043,0.003115691999937553,81.8,7229.6875,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Enhanced_2,3,41.57756216959432,0.355891213889758,0.7144316080000408,0.0013737310000578873,108.0,7231.21875,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Enhanced_2,3,43.72352045212396,0.30973125459341155,15.437367639000058,0.0982751349999944,151.3,7290.3515625,41,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Baseline,4,43.785594297731855,0.2703454395659223,1.1613474689999066,0.03722893400004068,303.5,7298.421875,0,5547
GPU_NVIDIA_A100-SXM4-80GB,XGB,Baseline,4,44.76908657618589,0.25998276221342487,0.6891808980000178,0.0030636080000476795,1085.2,7298.06640625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,MLP,Baseline,4,55.50700548906849,-0.0018585152922165893,0.6026445389999253,0.0012673009999843998,105.1,7298.16015625,0,5547
GPU_NVIDIA_A100-SXM4-80GB,LSTM,Baseline,4,51.13996297555888,0.06307602292129144,16.43354411000007,0.10038389400006054,146.9,7298.828125,40,5547
GPU_NVIDIA_A100-SXM4-80GB,RF,Enhanced,4,39.33882222540768,0.40095442453630925,1.6699166450000575,0.03886819799993191,508.1,7213.75390625,3,5547
