accelerator,Model,Features,avg_mae,std_mae,avg_r2,std_r2,avg_train_time_sec,std_train_time_sec,avg_infer_time_sec,std_infer_time_sec,avg_peak_cpu,std_peak_cpu,avg_peak_memory_mb,std_peak_memory_mb,avg_peak_gpu_util,avg_peak_gpu_memory_mb
GPU_NVIDIA_L4,LSTM,Baseline,50.568643833300754,1.4750977222201023,0.09453582995943599,0.04254344519993269,16.299682473799976,2.1019912802785976,0.1001897554000152,0.0026954580562902936,235.16,50.04925573872203,6407.64921875,344.2485130726735,21.8,2418.2
GPU_NVIDIA_L4,LSTM,Enhanced,43.58348241013321,1.705533947132337,0.29804884624754024,0.054747988191020176,15.269591031999926,0.24825507505494163,0.09810871099998622,0.0016845277719589535,162.78,9.77123328961089,6502.88671875,219.3417605353206,22.0,2496.0
GPU_NVIDIA_L4,LSTM,Enhanced_2,44.0285549193263,1.1970154372790303,0.28355193291587993,0.03147120246508732,15.158105524799975,0.07762825391222639,0.09912757739994049,0.004749359094291413,204.04000000000002,66.8283846879453,6566.93828125,215.38447935881888,22.0,2496.0
GPU_NVIDIA_L4,MLP,Baseline,55.87452826199166,1.3078656123690307,-0.04512673346977345,0.13550898130464378,0.6035508128000856,0.038344459498023925,0.0012478709999868443,2.0733436087568992e-05,104.66,5.726953815074819,6345.0765625,395.1401282190346,0.0,2407.8
GPU_NVIDIA_L4,MLP,Enhanced,41.17159113509587,1.770790201346605,0.3807349261841094,0.04645574233389523,0.6706350468000437,0.06527631646093147,0.0013395569999829604,6.473594920616958e-05,229.76,164.2288738316134,6458.1265625,213.61156046083337,0.6,2492.8
GPU_NVIDIA_L4,MLP,Enhanced_2,41.123321224726716,2.219792737757948,0.3789372904962479,0.06322212797687324,0.7270892867999464,0.04343592279347942,0.001411465000046519,0.00012760418760187785,170.34,61.22604021166157,6509.5953125,212.86134282204785,0.0,2496.0
GPU_NVIDIA_L4,RF,Baseline,43.00397094255337,0.8322454118490892,0.3201020351376006,0.04118362164597419,1.6311445853999884,0.8283601730597252,0.04096095680001781,0.011528196833531451,328.91999999999996,54.87606035422003,6034.73828125,1070.373404224921,0.0,1997.4
GPU_NVIDIA_L4,RF,Enhanced,38.05305597472176,1.393841721167525,0.46243327045265803,0.04014191447850254,1.7495860601999538,0.11199486576285043,0.041459028600047534,0.011779918260275963,544.54,104.94950214269717,6406.8796875,308.94376506499395,1.6,2418.2
GPU_NVIDIA_L4,RF,Enhanced_2,39.766430832186295,1.298784732231063,0.4212401800945528,0.03265948795111117,1.868434357599972,0.1877526879679957,0.04142474880004556,0.010585581625001884,577.36,172.08665840209696,6506.15703125,216.71691285425237,1.8,2496.0
GPU_NVIDIA_L4,XGB,Baseline,43.946343908907735,1.4870670759044284,0.3051694981093147,0.04445739896532872,0.6172948322000138,0.9086468785622805,0.0032232313999884356,0.001528665830619452,278.52,449.67322246271243,6343.6703125,397.54174628274774,3.4,2407.8
GPU_NVIDIA_L4,XGB,Enhanced,39.224923932157125,1.1209064145627177,0.44611694481761416,0.04494857738814632,0.3517967776000205,0.011951810164965613,0.0025943624000319687,6.285946507847949e-05,96.02000000000001,138.28531013813432,6455.67578125,214.22918835117113,0.6,2492.8
GPU_NVIDIA_L4,XGB,Enhanced_2,39.5373673675821,1.0472642419424694,0.4412492815509575,0.04139646704043171,0.41160180100000615,0.12531227778601758,0.006988296800000171,0.009557175870229003,238.0,363.7411854602115,6508.36640625,213.38577442464768,0.0,2496.0
